City_CH,City_EN,FID,Field_1,GbCity,GbProv,Prov_CH,Prov_EN,T_D_1010,T_C_1010,Population,PM2.5,Death_rate,PM10,CO,NO2,O3,SO2
驻马店市,Zhumadian,167,335,4117,41,河南省,Henan,0,139,46.88,60.91666667,0.00,90.66666667,0.670416667,40.54166667,13.95833333,7.458333333
武汉市,Wuhan,168,266,4201,42,湖北省,Hubei,3869,50340,604,45.08333333,7.69,75.875,0.998333333,57.95833333,8.458333333,11.625
黄石市,Huangshi,169,112,4202,42,湖北省,Hubei,39,1015,85.15,31.79166667,3.84,70.66666667,0.796666667,43.83333333,25.125,13.5
十堰市,Shiyan,170,227,4203,42,湖北省,Hubei,8,672,59.06,41.5,1.19,79.91666667,0.706666667,38.66666667,22.58333333,6.958333333
宜昌市,Yichang,171,301,4205,42,湖北省,Hubei,37,931,80.22,109.3333333,3.97,130.9583333,0.884166667,35.04166667,21.83333333,10.58333333
鄂州市,Ezhou,173,59,4207,42,湖北省,Hubei,59,1394,43.79,35.25,4.23,75.91666667,1.35,48.625,16.79166667,18.16666667
荆门市,Jingmen,174,130,4208,42,湖北省,Hubei,41,928,47.65,78,4.42,106.125,0.755833333,39.95833333,20.66666667,13.16666667
孝感市,Xiaogan,175,277,4209,42,湖北省,Hubei,129,3518,55.31,46.95833333,3.67,76.33333333,0.93125,38.45833333,11.29166667,9.541666667
荆州市,Jingzhou,176,131,4210,42,湖北省,Hubei,52,1580,82.92,65.20833333,3.29,110.5,0.832083333,43.375,9.333333333,15.79166667
黄冈市,Huanggang,177,109,4211,42,湖北省,Hubei,125,2907,31.04,34.83333333,4.30,74.70833333,0.720833333,44.04166667,24.375,17.29166667
咸宁市,Xianning,178,272,4212,42,湖北省,Hubei,15,836,36.62,42,1.79,63.625,0.90875,29.41666667,21.875,9.875
随州市,Suizhou,179,237,4213,42,湖北省,Hubei,45,1307,47.69,50.83333333,3.44,82.375,0.715,33.33333333,25.20833333,6.666666667
长沙市,Changsha,182,322,4301,43,湖南省,Hunan,2,242,374.43,76.375,0.83,77.375,1.065833333,41.70833333,6.25,5.666666667
株洲市,Zhuzhou,183,334,4302,43,湖南省,Hunan,0,80,115.26,86.875,0.00,120,0.986666667,50.33333333,7.208333333,15.29166667
湘潭市,Xiangtan,184,274,4303,43,湖南省,Hunan,0,36,78.84,85.875,0.00,111.6666667,1.00125,47.66666667,8.041666667,9.458333333
衡阳市,Hengyang,185,99,4304,43,湖南省,Hunan,0,48,95.45,109.375,0.00,140.3333333,1.358333333,42.75,6.708333333,14.79166667
邵阳市,Shaoyang,186,222,4305,43,湖南省,Hunan,1,102,64,91.91666667,0.98,100.8333333,1.178333333,36.875,6.583333333,15.75
岳阳市,Yueyang,187,312,4306,43,湖南省,Hunan,1,156,86.5,67.58333333,0.64,90.54166667,1.020416667,41.20833333,8.25,9.166666667
常德市,Changde,188,33,4307,43,湖南省,Hunan,0,82,74.44,92.70833333,0.00,82.125,0.6625,24.95833333,9.791666667,4.458333333
张家界市,Zhangjiajie,189,317,4308,43,湖南省,Hunan,0,5,19.31,101.625,0.00,119.6666667,0.879166667,26.41666667,18.16666667,3.833333333
益阳市,Yiyang,190,303,4309,43,湖南省,Hunan,0,60,56.93,87.33333333,0.00,113.125,1.1675,30.83333333,7.625,3.208333333
郴州市,Chenzhou,191,38,4310,43,湖南省,Hunan,0,39,65.08,50.29166667,0.00,65.25,1.4075,38.125,11.54166667,11.375
永州市,Yongzhou,192,307,4311,43,湖南省,Hunan,0,44,48.62,72,0.00,99.16666667,1.268333333,39.33333333,11.75,6.875
怀化市,Huaihua,193,105,4312,43,湖南省,Hunan,0,40,37.14,73.29166667,0.00,89.08333333,1.0925,18.125,20.625,5
