FIPS,County,DeathRate
42077,Lehigh County,2.36
42079,Luzerne County,2.56
42081,Lycoming County,2.07
42085,Mercer County,2.58
42089,Monroe County,3.04
42091,Montgomery County,2.99
42095,Northampton County,2.5
42099,Perry County,2.54
42101,Philadelphia County,2.64
42111,Somerset County,1.94
42115,Susquehanna County,3.39
42117,Tioga County,3.7
42123,Warren County,3.02
42125,Washington County,1.5
42129,Westmoreland County,2.2
42131,Wyoming County,3.53
42133,York County,1.85
44003,Kent County,1.97
44007,Providence County,2.28
44009,Washington County,2.44
45003,Aiken County,1.42
45007,Anderson County,2.19
45013,Beaufort County,1.06
45015,Berkeley County,1.15
45019,Charleston County,1.24
45025,Chesterfield County,2.49
45029,Colleton County,2.62
45031,Darlington County,1.94
45037,Edgefield County,1.46
45041,Florence County,2.36
45043,Georgetown County,2.13
45045,Greenville County,1.28
45047,Greenwood County,2.15
45051,Horry County,1.51
45063,Lexington County,1.5
45073,Oconee County,1.21
45075,Orangeburg County,2.69
45077,Pickens County,1.45
45079,Richland County,1.21
45083,Spartanburg County,1.9
45091,York County,1.07
46011,Brookings County,0.97
46013,Brown County,1.46
46029,Codington County,2
46033,Custer County,1.29
46065,Hughes County,1.39
46071,Jackson County,4.49
46093,Meade County,1.02
46099,Minnehaha County,1.1
46103,Pennington County,1.22
46127,Union County,1.74
47001,Anderson County,1.4
47009,Blount County,0.99
47025,Claiborne County,1.06
47037,Davidson County,0.93
47041,DeKalb County,1.58
47045,Dyer County,1.73
47065,Hamilton County,0.94
47089,Jefferson County,1.66
47093,Knox County,0.97
47099,Lawrence County,1.35
47105,Loudon County,0.98
47107,McMinn County,1.46
47113,Madison County,1.85
47119,Maury County,1.11
47125,Montgomery County,1.03
47141,Putnam County,1.34
47145,Roane County,1.42
47155,Sevier County,0.88
47157,Shelby County,1.41
47163,Sullivan County,1.67
47165,Sumner County,1.28
47187,Williamson County,0.66
47189,Wilson County,1.02
48027,Bell County,1.2
48029,Bexar County,1.39
48037,Bowie County,2.97
48039,Brazoria County,1.06
48043,Brewster County,0.88
48055,Caldwell County,1.9
48061,Cameron County,3.85
48085,Collin County,0.74
48109,Culberson County,1.41
48113,Dallas County,1.03
48121,Denton County,0.91
48135,Ector County,2.13
48139,Ellis County,1.23
48141,El Paso County,1.78
48161,Freestone County,2.69
48167,Galveston County,0.96
48183,Gregg County,2.65
48201,Harris County,1.37
48203,Harrison County,2.34
48215,Hidalgo County,4.12
48221,Hood County,1.68
48227,Howard County,1.7
48231,Hunt County,2.34
48233,Hutchinson County,4.29
48243,Jeff Davis County,0.88
48245,Jefferson County,1.66
48251,Johnson County,1.43
48257,Kaufman County,1.35
48273,Kleberg County,3.28
48303,Lubbock County,1.38
48309,McLennan County,1.55
48315,Marion County,6.01
48323,Maverick County,2.86
48331,Milam County,0.95
48339,Montgomery County,0.95
48349,Navarro County,1.43
48355,Nueces County,1.86
48361,Orange County,1.32
48367,Parker County,1.01
48373,Polk County,2.59
48375,Potter County,2.02
48381,Randall County,1.28
48395,Robertson County,2.29
48397,Rockwall County,0.8
48401,Rusk County,2.07
48423,Smith County,2.09
48439,Tarrant County,0.98
48449,Titus County,1.75
48453,Travis County,1.04
48469,Victoria County,2.03
48479,Webb County,1.67
